,chipid,month,score
120,0375894f,8,0.906
121,037a2db9,0,0.9359999999999999
122,0384b13c,6,1.0
123,03862457,4,0.988
124,038a4e2b,6,0.978
125,038d0773,2,1.0
126,03adea0f,5,0.988
127,03b184cc,4,1.0
128,03b570e4,11,0.767
129,03b81185,5,0.997
130,03bd1b00,10,1.0
131,03bf29fa,4,0.7110000000000001
132,03cfd5cd,5,0.966
133,03e506af,3,0.808
134,03f27ce1,8,1.0
135,03f9e229,4,0.84
136,04011347,2,0.923
137,040ad075,6,0.91
138,0410fc55,8,0.783
139,04203dc4,4,0.961
140,042c46f9,7,0.992
141,042dd93c,7,0.917
142,0436fc40,0,0.903
143,04392e0c,11,0.795
144,043d8d0c,4,0.794
145,04411212,11,0.99
146,04447492,1,0.999
147,044fe27e,6,0.918
148,04719c15,6,0.9359999999999999
149,04850701,6,0.859
150,04869e3c,4,0.853
151,048a3f5f,4,0.965
152,0493d777,2,0.997
153,04a6a767,1,0.881
154,04b380c7,6,0.885
155,04b6efc5,7,0.978
156,04b7d503,5,0.995
157,04ca83f0,7,0.986
158,04d55e6a,4,0.953
159,04dad591,2,0.921
160,04dbc732,3,0.879
161,04dd4f3b,5,0.854
162,04debe47,5,0.954
163,04e9d006,5,0.957
164,050649cc,6,0.962
165,051dc280,6,0.956
166,05232d1e,4,1.0
167,0529a3e8,4,0.977
168,052d6e62,6,0.923
169,0532076d,1,0.903
170,053aa3da,8,0.902
171,053facf0,6,0.935
172,05405d08,5,0.962
173,0546ac0a,5,0.972
174,05476041,9,0.968
175,0548c792,5,0.959
176,0548f884,6,0.866
177,054d4908,7,0.925
178,054de818,6,0.982
179,056224a2,2,0.834
180,0564f89d,7,0.876
181,05681655,5,0.912
182,057088b1,5,0.854
183,0571b175,7,0.79
184,057ebe07,1,0.9319999999999999
185,05a903fb,10,0.8
186,05b0083d,5,0.961
187,05b643ec,7,0.8260000000000001
188,05b9612e,6,0.927
189,05c35f7f,1,0.97
190,05cb0ff2,7,0.895
191,05d31b5c,4,0.961
192,05e52522,3,0.869
193,05fb3175,10,0.983
194,05fd5ad1,7,0.926
195,0600f14b,7,0.8140000000000001
196,06056511,4,0.948
197,0610fc19,8,1.0
198,06137b43,1,0.85
199,06158185,10,0.793
200,061637a0,6,0.938
201,061c4601,0,0.929
202,0620ddb2,7,0.7110000000000001
203,06212e56,4,0.975
204,0625a02b,2,0.993
205,062b353e,5,0.971
206,0636b264,4,0.788
207,06479ab2,4,0.938
208,06483cd7,5,1.0
209,0651d43e,8,1.0
210,065520d3,6,0.889
211,0655e85d,7,0.971
212,0658093b,5,0.971
213,065d3bd8,7,0.891
214,065e3a97,2,0.974
215,06643e05,4,0.849
216,066b0311,0,0.897
217,067248a3,7,0.813
218,0676eb5d,9,0.915
219,0678c538,10,0.971
220,06843249,5,0.96
221,068e2563,2,0.924
222,06917114,6,0.9339999999999999
223,0693e0a4,5,0.949
224,06b1fc3a,2,0.876
225,06b41dfc,7,0.95
226,06df3742,6,0.793
227,06e3d6af,4,0.943
228,06e891e5,3,0.878
229,06f112dd,5,0.995
230,06fc9487,4,0.976
231,071b57b1,5,0.9390000000000001
232,071dc8a5,7,0.955
233,0729ea67,11,0.993
234,07378cde,5,0.9299999999999999
235,073fb3e5,5,0.92
236,0751323a,4,0.965
237,07580a94,1,0.951
238,0761c4f1,0,0.834
239,07677e7e,5,0.925
240,076abd46,6,0.925
241,07741cb0,0,0.96
242,07765e15,5,0.969
243,077eaf9a,8,0.875
244,0781e3ed,11,0.798
245,0787865c,5,0.963
246,078ec944,2,0.954
247,07973811,9,0.603
248,07a084ca,3,0.966
249,07b9823a,5,0.966
250,07bcc6d6,7,0.928
251,07d1864c,5,0.988
252,07d6e963,4,0.871
253,07e3ec27,3,0.7130000000000001
254,07ebc1f7,6,0.976
255,07f11c88,8,0.971
256,07f3cd5e,7,0.909
257,07f9f6a4,7,0.764
258,08084efe,2,0.84
259,080d8f1d,7,1.0
260,080ed0c5,5,0.975
261,080fb169,4,0.98
262,08103218,5,0.963
263,0817358a,10,0.867
264,0823f904,5,0.965
265,08251bb9,7,0.985
266,082cce42,1,0.9319999999999999
267,0836d4c7,6,0.925
268,083a02c7,6,0.817
269,083f0dfb,3,0.881
270,08404854,7,0.921
271,084a44a0,2,0.827
272,085fcb0f,7,0.896
273,08676196,6,0.964
274,08686874,0,0.935
275,086c47df,6,0.89
276,086d7d16,6,0.98
277,088cd6f2,5,0.961
278,088dd40f,1,0.977
279,088e7b1a,10,0.734
280,089c5af4,5,0.982
281,08a18d5c,6,0.983
282,08a4dfe0,4,0.959
283,08a643d6,6,0.975
284,08a806a7,9,0.891
285,08c83160,1,0.966
286,08e0ff94,7,0.963
287,08ecfd3c,0,1.0
288,08f6b400,0,0.98
289,08f8e396,6,0.983
290,08ff8dd3,4,0.92
291,090636b0,6,0.858
292,090cec45,11,0.972
293,09171a70,7,0.842
294,09188771,6,0.926
295,09203898,4,0.987
296,0921957f,4,1.0
297,0929e279,5,0.961
298,092ce360,3,0.866
299,093a11a8,6,0.987
300,093a9e24,10,0.831
301,094567e5,1,0.88
302,0950a3da,5,0.969
303,095979c0,11,0.928
304,095cdde6,6,0.956
305,095d9117,2,0.877
306,0964800b,2,0.855
307,0979f778,5,0.94
308,097d3257,2,0.975
309,0980ecf3,3,0.91
310,09816493,7,0.937
311,0983a0f7,7,0.857
312,09914ef8,11,0.92
313,099191b9,0,0.989
314,09974f8c,1,0.883
315,099c6b3b,5,0.845
316,099e1a11,4,0.946
317,09a2cc22,4,0.977
318,09a30b35,2,0.963
319,09a84ecc,2,0.995
320,09a8596e,7,0.636
321,09cf24b5,5,0.976
322,09d20656,8,1.0
323,09dd7b70,2,0.857
324,09dde789,2,0.994
325,09e13567,10,0.837
326,09e36dd8,7,0.8280000000000001
327,09e9ac7f,5,0.925
328,09f19109,8,0.954
329,09fd6d1a,6,0.955
330,0a04e5c1,9,1.0
331,0a073fe4,2,0.832
332,0a096068,11,0.864
333,0a105fce,5,0.938
334,0a132a88,11,0.808
335,0a35ad65,7,0.883
336,0a35b443,10,0.871
337,0a39dd9e,6,0.993
338,0a3d8f03,5,0.9319999999999999
339,0a3faec0,10,0.951
340,0a58ac70,6,0.971
341,0a5fa091,10,0.913
342,0a65fa3f,5,0.978
343,0a676e24,10,0.7989999999999999
344,0a684a97,8,0.8109999999999999
345,0a6bc33f,7,0.763
346,0a781cab,6,0.787
347,0a81b559,10,0.884
348,0a81cdee,4,0.995
349,0a8b6998,6,0.98
350,0a9d13a4,4,0.982
351,0aa21699,0,0.985
352,0aa7fb10,7,0.962
353,0aac1e46,8,0.987
354,0ab097c9,5,0.974
355,0ac443da,2,0.997
356,0acc54b4,6,0.926
357,0acd8a27,0,0.935
358,0ad475a1,3,0.835
359,0ad57788,1,0.965
360,0ad655e2,1,0.9359999999999999
361,0adf9e66,6,0.886
362,0ae6324a,6,0.7969999999999999
363,0b0926dd,8,0.886
364,0b0eec49,2,0.892
365,0b255824,10,0.792
366,0b2c3886,1,0.983
367,0b30548f,7,0.838
368,0b3349ff,5,0.984
369,0b353ba8,1,0.967
370,0b36d307,5,0.986
371,0b45f44d,2,0.948
372,0b485d3b,11,0.923
373,0b5dd5d0,0,0.91
374,0b5de22d,6,0.975
375,0b6ae2b1,5,0.8280000000000001
376,0b6f6d40,5,0.9319999999999999
377,0b792613,4,0.991
378,0b8d5875,3,0.73
379,0ba2a063,5,0.99
380,0ba31a2c,6,0.964
381,0ba7bca7,4,0.965
382,0baa5577,5,0.959
383,0bac0847,2,0.942
384,0badc5ba,10,0.784
385,0bc9709a,11,0.865
386,0bc9b53c,2,0.806
387,0bdba623,5,0.976
388,0bde3a29,5,0.966
389,0be278ec,11,0.914
390,0bf069c3,6,0.912
391,0bf46883,11,0.942
392,0bf98345,7,0.8009999999999999
393,0bfa0434,6,0.961
394,0c03fb03,6,0.94
395,0c0b40d3,5,0.974
396,0c13c720,7,0.782
397,0c19b4a5,5,0.827
398,0c1b5ede,6,0.978
399,0c1dea12,5,0.968
400,0c1e1474,7,0.77
401,0c258ba6,5,0.954
402,0c2af57b,11,0.87
403,0c340511,2,0.982
404,0c48b873,7,0.776
405,0c4a3582,3,0.815
406,0c4aafbf,5,0.959
407,0c4f11f0,6,0.881
408,0c65a284,1,0.922
409,0c6dc601,5,0.985
410,0c7ea7a7,5,0.977
411,0c9539fe,4,0.963
412,0c9d78ab,6,0.883
413,0ca16dfd,2,0.877
414,0ca69c96,2,0.877
415,0cb01158,5,0.968
416,0cc46779,6,0.909
417,0cc4de55,5,0.911
418,0cd8ffb5,0,0.937
419,0cda02ad,6,0.653
420,0cdb980d,5,0.995
421,0cdd0050,5,0.955
422,0d0be2c8,7,0.866
423,0d109e74,1,0.96
424,0d129e66,6,0.855
425,0d1c68af,5,0.978
426,0d226508,9,0.963
427,0d29f58c,3,0.881
428,0d2b5776,2,0.8140000000000001
429,0d37cb5f,5,0.984
430,0d40d2ba,7,0.962
431,0d43e377,4,0.96
432,0d445fb6,4,0.983
433,0d46f24a,7,0.7130000000000001
434,0d4b9de6,7,0.761
435,0d4bbc1a,2,0.8160000000000001
436,0d5bc776,7,0.869
437,0d665376,5,0.943
438,0d68af9c,11,0.945
439,0d694ba9,5,0.96
440,0d710330,3,0.881
441,0d820bc7,5,0.952
442,0d8e3338,4,0.999
443,0d90aa12,4,0.653
444,0d93826f,4,1.0
445,0d9bc03c,5,0.913
446,0d9d5ac6,11,0.888
447,0dbe745e,7,0.852
448,0dc14cfd,5,0.959
449,0dc5a9b3,5,0.982
450,0dd2d6c9,2,0.967
451,0dd93df8,7,0.885
452,0ddd95d2,2,0.802
453,0de178b7,7,1.0
454,0de54a5e,0,0.997
455,0e04c0c7,2,0.988
456,0e081ce3,5,0.838
457,0e0dfb3b,6,0.855
458,0e174295,4,0.772
459,0e19de83,6,0.8029999999999999
460,0e1b75bc,5,0.842
461,0e21d97c,5,0.967
462,0e2f6368,6,0.973
463,0e50ca04,7,0.969
464,0e5fff30,5,0.942
465,0e67339f,4,0.8240000000000001
466,0e67ed1e,5,0.962
467,0e6911dd,6,0.916
468,0e6cd7a8,1,0.8049999999999999
469,0e74f3ca,0,0.901
470,0e826cd4,1,0.9
471,0e82ba8f,2,0.987
472,0e83c7fe,6,0.975
473,0e8b2ac7,7,0.708
474,0e8efa76,1,0.851
475,0e8f061c,5,0.851
476,0e92cd13,8,0.999
477,0e95dc51,6,0.945
478,0ea3ff4c,5,0.935
479,0ea789a8,11,0.9319999999999999
480,0eaa6bdf,11,0.904
481,0eb18cbe,11,0.793
482,0ebea80a,5,0.984
483,0ebf5d45,7,0.868
484,0ebf6765,5,0.94
485,0ec976dc,6,0.953
486,0ecb75df,7,0.909
487,0ecc9585,5,0.973
488,0ed6856a,8,0.8140000000000001
489,0ee6ad89,7,0.871
490,0ef7b574,4,0.967
491,0efa5c94,4,0.858
492,0f07f1d0,2,0.994
493,0f08c93b,11,0.906
494,0f0a493a,6,0.886
495,0f119d95,5,0.851
496,0f123dad,7,0.976
497,0f24e6a8,7,0.885
498,0f26a281,5,0.9
499,0f26e952,5,0.944
500,0f28166a,7,0.878
501,0f3dfa71,2,0.978
502,0f478b85,5,0.955
503,0f54b847,6,0.883
504,0f5a4563,7,0.878
505,0f5d3266,2,0.839
506,0f663c46,2,0.999
507,0f687c36,2,0.931
508,0f6faf05,5,0.991
509,0f705e95,3,0.849
510,0f709309,11,1.0
511,0f75684e,5,0.981
512,0f77b53e,5,0.9339999999999999
513,0f8a4733,7,0.8009999999999999
514,0f8f5c4e,10,0.802
515,0f908375,1,0.92
516,0f941205,8,1.0
517,0f967a67,8,0.91
518,0f97ca13,0,0.862
519,0f9cf58a,2,1.0
520,0fa196fb,6,0.9339999999999999
521,0fa1f946,1,0.874
522,0fae8d98,4,0.859
523,0fba70be,6,0.946
524,0fbaeaed,1,1.0
525,0fbff89f,7,0.912
526,0fc676e7,9,0.975
527,0fc70cb9,5,0.995
528,0fcf82e4,5,0.975
529,0fd2954e,2,0.781
530,0fd644ae,2,0.973
531,0fd7b6dd,4,1.0
532,0fdb9f77,8,0.921
533,0fdd733f,5,0.953
534,0fde7165,8,1.0
535,0feabc85,7,0.966
536,0fef27ce,4,0.946
537,0ff268b1,5,0.984
538,0ffaa79e,6,0.975
539,100c9e0c,6,0.957
540,10148836,2,0.962
541,1022440a,10,0.8029999999999999
542,1023cbd6,1,0.971
543,10339b8e,5,0.967
544,10429d71,2,0.964
545,10519639,5,0.942
546,1088bebb,2,0.981
547,108f49f3,2,0.937
548,109117ef,4,0.961
549,109560c3,4,1.0
550,109add1e,8,0.8
551,109be0f6,7,0.908
552,10a07ed0,8,0.982
553,10a179b8,2,0.978
554,10aec4e9,11,0.856
555,10b290d1,4,0.977
556,10b2e090,11,0.723
557,10b7aa9a,8,1.0
558,10bca2b9,2,0.835
559,10c4a409,6,0.956
560,10c4a551,5,0.965
561,10c903e4,5,0.927
562,10cddd46,6,0.945
563,10d8338c,5,0.97
564,10dd7864,4,0.968
565,10ddceda,5,0.893
566,10e2ac42,4,0.957
567,10e402d8,11,0.829
568,10e8d157,9,0.886
569,10eb4b3e,4,0.987
570,10fcf382,0,0.909
571,11082fab,1,0.996
572,1116e6fa,1,0.898
573,1117109a,5,0.958
574,1121c294,6,0.98
575,11220d4c,7,0.946
576,1141c57b,7,0.879
577,1145aa56,5,0.965
578,114cdf32,6,0.967
579,114ce554,6,0.931
580,115ae9a0,5,0.968
581,115ff5d8,0,0.868
582,11679ec2,5,0.987
583,11684502,7,0.947
584,116917f1,6,0.899
585,116e9d64,10,0.855
586,117b670a,11,0.867
587,1194d9b8,11,0.861
588,1199f6fa,2,0.931
589,11a05bb0,1,0.988
590,11acb23f,10,0.955
591,11b305f0,1,0.982
592,11b99653,5,0.964
593,11c945aa,10,0.732
594,11db9e19,1,0.889
595,11dfb643,10,0.712
596,11e4de70,7,0.96
597,11fc4d5f,2,0.884
598,11fe604f,7,0.918
599,11feb2e5,8,0.904
600,1210a461,6,0.893
601,121f6463,8,0.986
602,12224d5f,5,0.977
603,122ef21e,3,0.87
604,123067b1,3,0.8240000000000001
605,1232b976,7,0.925
606,124f631a,6,0.6990000000000001
607,1250c93f,6,0.874
608,1252f4d7,11,0.886
609,12534830,7,0.914
610,1259d0a9,11,0.819
611,125b32ae,2,0.9319999999999999
612,128287c0,6,0.965
613,128adae8,6,0.874
614,128eb2aa,4,0.926
615,1291713b,2,0.8280000000000001
616,12a71535,5,0.99
617,12b8cf9c,5,0.892
618,12c02d4b,5,0.999
619,12cc0324,6,0.91
620,12d4474f,5,0.977
621,12d58dcc,2,0.9390000000000001
622,12d934e3,6,0.849
623,12e972b8,5,0.978
624,12ed637a,9,0.842
625,12f74127,6,0.875
626,12fb5503,6,0.978
627,12fd7631,11,0.829
628,1307a04a,7,0.929
629,131806e4,6,0.903
630,131c9c06,6,0.9339999999999999
631,1324f4d5,4,0.953
632,132590e4,10,0.975
633,13263137,4,0.972
634,13389308,7,0.866
635,134430e4,10,0.91
636,13444622,7,0.903
637,1348d51a,5,0.982
638,135027e8,5,0.975
639,1355dfaa,2,0.9299999999999999
640,135da382,7,0.862
641,136423b2,11,0.837
642,136af50d,5,0.999
643,136e2139,8,1.0
644,137884a2,5,0.96
645,1379a8c4,6,0.976
646,137c96c6,4,0.966
647,137eb3f7,2,0.919
648,1380e8f4,5,0.846
649,1385fc6b,10,0.942
650,13892357,11,0.961
651,138bc232,11,1.0
652,1398c186,5,0.981
653,13a080c9,8,0.915
654,13a24a0e,5,0.9339999999999999
655,13b3308d,7,0.911
656,13c3cd1e,5,0.955
657,13cc8832,11,0.886
658,13cf35fa,6,0.969
659,13e8c3a5,7,0.898
660,13f5a73e,7,0.9299999999999999
661,13fc1f56,5,0.928
662,13fc84d8,5,0.931
663,1410e147,7,0.914
664,1417b0a6,3,0.999
665,14279b82,5,0.97
666,1436fa9d,1,0.954
667,14397bfb,6,0.864
668,1446b274,2,0.952
669,144e144c,7,0.877
670,145d0600,4,0.994
671,1460c6b1,6,0.926
672,14633304,6,0.987
673,146c7d5c,8,0.959
674,1475c48e,7,0.957
675,147c9028,5,0.863
676,1481964f,7,0.958
677,1481ee37,7,0.933
678,14888ef2,3,0.987
679,1490037d,6,0.971
680,149f144d,3,0.879
681,14ba8aab,3,0.979
682,14cd6946,4,0.971
683,14cf1ec4,5,0.988
684,14d3b92b,4,0.9410000000000001
685,14db0101,2,0.8069999999999999
686,14e2540f,6,0.819
687,14fe1473,1,0.953
688,150299cf,4,0.957
689,150695ef,7,0.905
690,150b249d,4,0.962
691,1510e9cd,11,0.929
692,1511cb4d,6,0.894
693,15154fa6,5,0.964
694,151cf430,3,0.829
695,153a51b7,7,0.812
696,153fb447,11,0.779
697,1541e9dc,2,0.9319999999999999
698,1541fb61,8,0.911
699,1549f396,2,1.0
700,15524a1f,4,0.975
701,1556ffec,1,0.911
702,155fbfd7,6,0.6799999999999999
703,15623d55,11,0.88
704,1567ab76,9,1.0
705,1569b4e2,5,0.946
706,156a36c8,8,0.98
707,156a6a96,4,1.0
708,157158e8,7,0.906
709,15728cd4,4,0.954
710,1580dc60,4,0.946
711,159a09be,7,0.98
712,159a4fce,6,0.962
713,15ab3b9a,2,0.954
714,15b23ce1,4,0.965
715,15bc6b41,6,0.865
716,15bf4479,7,0.945
717,15c7876b,9,0.979
718,15ca148b,11,0.781
719,15d03d91,4,0.881
720,15e2454a,10,0.8260000000000001
721,15e43b1c,7,0.946
722,15e8a734,10,0.904
723,15f686c8,7,0.825
724,15fbfeff,5,0.972
725,15ff0c73,5,0.986
726,161ca1ea,4,0.961
727,1628fba4,4,0.983
728,162bdc23,11,0.897
729,163ae886,11,0.904
730,163e6988,1,0.971
731,1648a27a,4,0.778
732,1657fc67,5,0.98
733,166078d6,5,0.963
734,16635583,11,0.99
735,166be7d7,4,0.983
736,16709fa3,5,0.97
737,168d2687,2,0.96
738,169059e0,5,0.9319999999999999
739,1693843f,2,0.834
740,1693bbe7,3,0.827
741,16999324,10,0.997
742,16a87337,1,0.96
743,16afe4a7,7,0.944
744,16b80308,3,0.957
745,16c09f38,1,1.0
746,16c80351,5,0.933
747,16d8cac6,4,0.8069999999999999
748,16db3af7,5,1.0
749,16df9dc7,9,1.0
750,16f624b6,7,0.917
751,16fc7acc,7,0.927
752,17058554,1,0.953
753,1718f00d,10,0.85
754,171caf70,2,0.987
755,1727ff76,6,0.916
756,173902ba,10,0.909
757,173f6c91,6,0.951
758,17432244,7,0.962
759,1746b831,7,0.74
760,174ca2b3,8,0.906
761,17512095,2,0.891
762,1753a3b1,4,0.975
763,1756103d,6,0.973
764,175c2e5e,8,1.0
765,176e5ab2,6,0.8009999999999999
766,177a7af9,4,0.965
767,177bab49,7,0.862
768,177ce4ba,4,0.972
769,179095b6,2,0.857
770,17912870,11,0.743
771,17912e75,5,0.885
772,179460ce,7,0.874
773,179cfc99,10,0.922
774,179eedaa,4,0.98
775,17a40ea5,6,0.98
776,17ad734b,11,0.833
777,17b83678,8,0.993
778,17c2a733,7,0.863
779,17c3913b,8,0.885
780,17d0234d,9,0.8069999999999999
781,17d0eeb0,7,0.901
782,17de67d1,1,0.988
783,17e8e8be,0,0.928
784,17eb4d69,5,0.944
785,17f54050,5,0.985
786,17fd0184,2,0.964
787,180eef35,1,0.907
788,1811929e,4,1.0
789,1816d18d,9,1.0
790,1820f58c,8,0.855
791,18233e50,1,0.988
792,182b00e9,4,0.968
793,1834b1fc,10,1.0
794,183a0b6c,6,0.928
795,183ee57b,5,0.927
796,1848af90,5,0.955
797,1856baeb,4,0.975
798,18595b6b,6,0.942
799,18694516,1,0.845
800,186a1895,5,0.976
801,186c990c,7,0.911
802,186ddf71,8,0.825
803,1876694c,5,0.951
804,187cf18b,6,0.754
805,188772ab,5,0.954
806,18a96bec,6,0.962
807,18ab8a17,4,0.919
808,18d3b697,6,0.96
809,18d952b3,4,0.959
810,18ef433e,7,0.871
811,18f1047f,4,0.963
812,1904d828,7,0.656
813,190974c2,2,0.629
814,190bb25c,6,0.969
815,19149c65,5,0.964
816,19204d6f,2,0.981
817,1925f7d8,5,0.969
818,192eb2e0,8,0.988
819,193364a3,6,0.967
820,19339797,7,0.958
821,19354358,0,0.927
822,1936f8a5,1,0.84
823,19385711,0,0.953
824,193d4a66,5,0.876
825,1942f772,5,0.967
826,194366ae,11,0.771
827,19457017,9,0.898
828,194f6b2f,6,0.959
829,195487ec,11,0.854
830,196298ea,4,0.996
831,196c199c,5,0.994
832,19720e70,9,0.847
833,197e48d0,1,1.0
834,19842835,6,0.973
835,1987c5e7,1,0.986
836,1990d8e4,2,1.0
837,1993b36e,6,0.982
838,19a0fe11,5,0.937
839,19aa0cc6,5,0.985
840,19ae04fe,5,0.956
841,19bdd036,11,0.8
842,19c50fe1,10,0.8089999999999999
843,19ca3adf,1,0.99
844,19ccf803,7,0.901
845,19d7cbd4,4,0.917
846,19da9e8f,7,0.922
847,19e57ad4,0,0.892
848,19e5e877,5,0.955
849,19e8e599,7,0.928
850,19ea29be,5,0.961
851,19fd52db,10,0.8009999999999999
852,1a00c008,3,0.839
853,1a01514c,4,0.974
854,1a1addd1,5,0.846
855,1a1f591d,6,0.79
856,1a2e7791,4,0.973
857,1a346c55,6,0.981
858,1a5fcd05,5,0.98
859,1a65b34b,4,0.968
860,1a6df311,6,0.978
861,1a7b9694,5,0.995
862,1a7ddc2a,4,0.971
863,1a7ff67a,0,0.905
864,1a8b952f,5,0.938
865,1a9adc0a,5,0.952
866,1a9e2daa,4,0.965
867,1aa3f35a,11,0.885
868,1aab2ea9,5,0.986
869,1aab5941,6,0.968
870,1ac58eda,5,0.987
871,1acdf4b6,5,0.964
872,1ad89b8a,8,0.787
873,1adefc20,2,0.997
874,1aebea76,4,0.981
875,1af64c1a,11,0.9
876,1b1593e8,5,0.944
877,1b222645,6,0.87
878,1b35b32d,5,0.984
879,1b3c30c3,6,0.766
880,1b3d7911,8,0.884
881,1b3ede02,8,0.897
882,1b46e768,5,0.98
883,1b529f31,4,0.844
884,1b637aff,11,0.9
885,1b6d359c,10,0.7969999999999999
886,1b6e62fd,7,0.917
887,1b7a76f8,9,1.0
888,1b82cc99,5,0.905
889,1b875bb0,11,0.899
890,1b8c97f8,7,0.912
891,1b8fc47d,7,0.843
892,1b9151ba,2,0.977
893,1b9366bb,5,1.0
894,1b940233,10,0.8069999999999999
895,1b9a4249,11,0.983
896,1b9eb19c,5,0.976
897,1ba61dc5,4,0.987
898,1ba7050d,5,0.914
899,1bb91fe9,7,0.774
900,1bbb53f8,0,0.931
901,1bc0d9ae,5,0.947
902,1bcc6727,8,1.0
903,1bd00a0a,8,0.7130000000000001
904,1bd0b18f,5,0.992
905,1bd3ee4a,1,0.8069999999999999
906,1bd933c5,4,0.985
907,1bebc830,2,0.935
908,1bed1748,3,0.868
909,1bf613a4,4,0.989
910,1bffc196,4,0.959
911,1c04573f,7,0.8140000000000001
912,1c148fd3,6,0.942
913,1c1b81c5,2,0.835
914,1c1d8121,1,1.0
915,1c28eda9,8,0.998
916,1c2a6886,0,0.998
917,1c2d43ef,4,0.972
918,1c312517,10,0.834
919,1c336d22,2,0.978
920,1c5787b1,6,0.8180000000000001
921,1c736465,9,0.6950000000000001
922,1c81862c,4,0.957
923,1c86e26b,4,0.965
924,1c9623a5,3,0.998
925,1ca90e13,7,0.933
926,1cb30c14,5,0.979
927,1cba4cb1,2,0.994
928,1cc02390,2,0.92
929,1cc6f00a,6,0.871
930,1cc6f78e,9,1.0
931,1cd4956a,4,1.0
932,1cd6323f,11,0.732
933,1cec2f2a,10,0.955
934,1cf21b01,8,0.915
935,1d09f0c5,5,0.981
936,1d0b56ee,7,0.945
937,1d0dea6d,2,0.79
938,1d14bdf1,2,0.776
939,1d1bc8a6,1,1.0
940,1d2d0900,4,0.959
941,1d2e7fe8,4,0.995
942,1d4a14a9,2,0.832
943,1d4b9701,2,0.882
944,1d67d611,4,0.957
945,1d6f0a50,5,0.968
946,1d7700eb,5,0.946
947,1d780d43,7,0.788
948,1d8197ac,7,0.813
949,1d894be4,4,0.976
950,1d91f6c0,11,0.78
951,1d98f768,5,0.986
952,1d9b9f68,11,1.0
953,1da8bab2,1,0.961
954,1dae5100,4,0.802
955,1dafc60e,6,0.964
